77.00 48.27 17.48 26.74 65.52 70.58 78.01 84.14 72.46
78.00 48.27 17.48 26.74 65.52 70.58 78.01 84.14 72.46
79.00 48.27 17.48 26.74 65.52 70.58 78.01 84.14 72.46
80.00 49.00 18.60 29.37 66.13 70.81 78.55 86.01 72.86
81.00 49.00 18.60 29.37 66.13 70.81 78.55 86.01 72.86
82.00 49.00 18.60 29.37 66.13 70.81 78.55 86.01 72.86
83.00 49.00 18.60 29.37 66.13 70.81 78.55 86.01 72.86
84.00 49.00 18.60 29.37 66.13 70.81 78.55 86.01 72.86
85.00 50.14 19.52 32.04 67.03 71.22 78.76 86.96 73.25
86.00 50.14 19.52 32.04 67.03 71.22 78.76 86.96 73.25
87.00 50.14 19.52 32.04 67.03 71.22 78.76 86.96 73.25
88.00 50.14 19.52 32.04 67.03 71.22 78.76 86.96 73.25
89.00 50.14 19.52 32.04 67.03 71.22 78.76 86.96 73.25
90.00 50.94 21.08 34.28 67.40 71.56 78.89 87.93 73.55
91.00 50.94 21.08 34.28 67.40 71.56 78.89 87.93 73.55
92.00 50.94 21.08 34.28 67.40 71.56 78.89 87.93 73.55
93.00 50.94 21.08 34.28 67.40 71.56 78.89 87.93 73.55
94.00 50.94 21.08 34.28 67.40 71.56 78.89 87.93 73.55
95.00 51.85 21.70 36.40 67.98 71.72 79.08 89.09 74.05
96.00 51.85 21.70 36.40 67.98 71.72 79.08 89.09 74.05
97.00 51.85 21.70 36.40 67.98 71.72 79.08 89.09 74.05
98.00 51.85 21.70 36.40 67.98 71.72 79.08 89.09 74.05
99.00 51.85 21.70 36.40 67.98 71.72 79.08 89.09 74.05
100.00 52.65 22.64 37.92 68.30 71.95 79.66 89.57 74.02
101.00 52.65 22.64 37.92 68.30 71.95 79.66 89.57 74.02
102.00 52.65 22.64 37.92 68.30 71.95 79.66 89.57 74.02
103.00 52.65 22.64 37.92 68.30 71.95 79.66 89.57 74.02
104.00 52.65 22.64 37.92 68.30 71.95 79.66 89.57 74.02
105.00 53.51 24.44 39.00 68.63 72.09 79.90 90.31 74.55
106.00 53.51 24.44 39.00 68.63 72.09 79.90 90.31 74.55
107.00 53.51 24.44 39.00 68.63 72.09 79.90 90.31 74.55
108.00 53.51 24.44 39.00 68.63 72.09 79.90 90.31 74.55
109.00 53.51 24.44 39.00 68.63 72.09 79.90 90.31 74.55
110.00 54.13 24.80 39.75 69.10 72.19 80.25 90.62 75.58
111.00 54.13 24.80 39.75 69.10 72.19 80.25 90.62 75.58
112.00 54.13 24.80 39.75 69.10 72.19 80.25 90.62 75.58
113.00 54.13 24.80 39.75 69.10 72.19 80.25 90.62 75.58
114.00 54.13 24.80 39.75 69.10 72.19 80.25 90.62 75.58
115.00 54.88 25.86 41.46 69.43 72.49 80.39 90.81 75.08
116.00 54.88 25.86 41.46 69.43 72.49 80.39 90.81 75.08
117.00 54.88 25.86 41.46 69.43 72.49 80.39 90.81 75.08
118.00 54.88 25.86 41.46 69.43 72.49 80.39 90.81 75.08
119.00 54.88 25.86 41.46 69.43 72.49 80.39 90.81 75.08
120.00 55.59 26.44 42.14 69.68 72.70 80.67 90.90 75.03
