0.00 42.03 45.64 49.04 31.25 32.98 38.33
1.00 42.03 45.64 49.04 31.25 32.98 38.33
2.00 42.03 45.64 49.04 31.25 32.98 38.33
3.00 42.03 45.64 49.04 31.25 32.98 38.33
4.00 42.03 45.64 49.04 31.25 32.98 38.33
5.00 41.97 45.57 49.07 31.68 33.04 38.83
6.00 41.97 45.57 49.07 31.68 33.04 38.83
7.00 41.97 45.57 49.07 31.68 33.04 38.83
8.00 41.97 45.57 49.07 31.68 33.04 38.83
9.00 41.97 45.57 49.07 31.68 33.04 38.83
10.00 41.88 45.58 49.02 33.18 33.38 39.62
11.00 41.88 45.58 49.02 33.18 33.38 39.62
12.00 41.88 45.58 49.02 33.18 33.38 39.62
13.00 41.88 45.58 49.02 33.18 33.38 39.62
14.00 41.88 45.58 49.02 33.18 33.38 39.62
15.00 42.20 45.54 49.09 35.04 32.73 40.56
16.00 42.20 45.54 49.09 35.04 32.73 40.56
17.00 42.20 45.54 49.09 35.04 32.73 40.56
18.00 42.20 45.54 49.09 35.04 32.73 40.56
19.00 42.20 45.54 49.09 35.04 32.73 40.56
20.00 42.70 45.73 49.55 35.87 33.11 41.10
21.00 42.70 45.73 49.55 35.87 33.11 41.10
22.00 42.70 45.73 49.55 35.87 33.11 41.10
23.00 42.70 45.73 49.55 35.87 33.11 41.10
24.00 42.70 45.73 49.55 35.87 33.11 41.10
25.00 43.70 47.41 50.78 37.29 34.38 41.48
26.00 43.70 47.41 50.78 37.29 34.38 41.48
27.00 43.70 47.41 50.78 37.29 34.38 41.48
28.00 43.70 47.41 50.78 37.29 34.38 41.48
29.00 43.70 47.41 50.78 37.29 34.38 41.48
30.00 45.18 51.95 56.12 39.08 35.47 42.54
31.00 45.18 51.95 56.12 39.08 35.47 42.54
32.00 45.18 51.95 56.12 39.08 35.47 42.54
33.00 45.18 51.95 56.12 39.08 35.47 42.54
34.00 45.18 51.95 56.12 39.08 35.47 42.54
35.00 47.28 59.05 59.96 40.26 36.51 43.16
36.00 47.28 59.05 59.96 40.26 36.51 43.16
37.00 47.28 59.05 59.96 40.26 36.51 43.16
38.00 47.28 59.05 59.96 40.26 36.51 43.16
39.00 47.28 59.05 59.96 40.26 36.51 43.16
40.00 49.35 64.11 61.50 41.78 36.89 43.59
41.00 49.35 64.11 61.50 41.78 36.89 43.59
42.00 49.35 64.11 61.50 41.78 36.89 43.59
43.00 49.35 64.11 61.50 41.78 36.89 43.59
44.00 49.35 64.11 61.50 41.78 36.89 43.59
45.00 51.04 68.02 65.42 44.37 38.47 44.45
46.00 51.04 68.02 65.42 44.37 38.47 44.45
47.00 51.04 68.02 65.42 44.37 38.47 44.45
48.00 51.04 68.02 65.42 44.37 38.47 44.45
49.00 51.04 68.02 65.42 44.37 38.47 44.45
50.00 52.50 71.21 70.85 46.45 40.51 44.83
51.00 52.50 71.21 70.85 46.45 40.51 44.83
52.00 52.50 71.21 70.85 46.45 40.51 44.83
53.00 52.50 71.21 70.85 46.45 40.51 44.83
54.00 52.50 71.21 70.85 46.45 40.51 44.83
55.00 54.02 74.18 71.98 49.70 41.98 45.13
56.00 54.02 74.18 71.98 49.70 41.98 45.13
57.00 54.02 74.18 71.98 49.70 41.98 45.13
58.00 54.02 74.18 71.98 49.70 41.98 45.13
59.00 54.02 74.18 71.98 49.70 41.98 45.13
60.00 55.43 76.91 72.35 51.57 43.48 45.90
61.00 55.43 76.91 72.35 51.57 43.48 45.90
62.00 55.43 76.91 72.35 51.57 43.48 45.90
63.00 55.43 76.91 72.35 51.57 43.48 45.90
64.00 55.43 76.91 72.35 51.57 43.48 45.90
65.00 57.04 78.65 72.78 53.71 47.22 46.22
66.00 57.04 78.65 72.78 53.71 47.22 46.22
67.00 57.04 78.65 72.78 53.71 47.22 46.22
68.00 57.04 78.65 72.78 53.71 47.22 46.22
69.00 57.04 78.65 72.78 53.71 47.22 46.22
70.00 58.70 79.97 72.91 56.07 54.19 46.55
71.00 58.70 79.97 72.91 56.07 54.19 46.55
72.00 58.70 79.97 72.91 56.07 54.19 46.55
73.00 58.70 79.97 72.91 56.07 54.19 46.55
74.00 58.70 79.97 72.91 56.07 54.19 46.55
75.00 59.89 80.67 72.99 57.50 58.80 46.75
76.00 59.89 80.67 72.99 57.50 58.80 46.75
77.00 59.89 80.67 72.99 57.50 58.80 46.75
78.00 59.89 80.67 72.99 57.50 58.80 46.75
79.00 59.89 80.67 72.99 57.50 58.80 46.75
